,0
Traffic_Signal,0.2073221237618259
Crossing,0.14644307753466812
Humidity(%),0.10211476518055566
Junction,0.09794580376844073
Hour,0.07318569681714662
Temperature(F),0.07117119032660178
Wind_Speed(mph),0.06377957914802361
Pressure(in),0.059865548380998
Day,0.050633519621357446
Month,0.0325150144273447
Weather_Condition_Other,0.022627942585035258
Visibility(mi),0.01903280258739233
Weather_Condition_Cloudy,0.01613604607933138
Sunrise_Sunset_Night,0.011837661566489258
Weather_Condition_Rain,0.010045623019063081
Precipitation(in),0.009614001676079412
Year,0.005729603519646614
Weather_Condition_Fog,0.0
Weather_Condition_Snow,0.0
